,English,SimplifiedChinese,TraditionalChinese,Russian
Compound Bow,Compound Bow,钢轮弓,鋼輪弓,Compound Bow
Condition,Condition,条件,條件,Условие
Conditional,Conditional,触发条件,觸發條件,Условный
Config and filters will be in separate windows.,Config and filters will be in separate windows.,配置与过滤器在独立的窗口显示。,配置與過濾器在獨立的視窗顯示。,Config and filters will be in separate windows.
Config multi-account,Config multi-account,多账户配置,多賬戶配置,Config multi-account
Config profile configuration,Config profile configuration,配置文件配置器,配置文件配置器,Config profile configuration
"Configure to how many times it will update the animation state.
Results can vary alongside Animation State","Configure to how many times it will update the animation state.
Results can vary alongside Animation State","配置更新动画状态的次数。
结果可能随动画状态而变化。","配置更新動畫狀態的次數。
結果可能隨動畫狀態而變化。","Configure to how many times it will update the animation state.
Results can vary alongside Animation State"
Configure...,Configure...,配置文件...,配置文件...,Настраивем...
Console Logging,Console Logging,控制台日志,控制台日誌,Логгирование в консоль
Convert FoV to 35mm FF focal length,Convert FoV to 35mm FF focal length,将FoV转换到35mm全片幅焦距,將FoV轉換到35mm全畫幅焦距,Convert FoV to 35mm FF focal length
Cooking Ingredient,Cooking Ingredient,烹调材料,烹調材料,Cooking Ingredient
Cool Steel,Cool Steel,冷刃,冷刃,Cool Steel
Cooldown,Cooldown,冷却时间,冷卻時間,Перезарядка
Cooldown Effects,Cooldown Effects,冷却效果,冷卻效果,Cooldown Effects
Copy to Clipboard,Copy to Clipboard,复制到剪切板,复制到剪切板,Copy to Clipboard
Cor Lapis,Cor Lapis,石珀,石珀,Кор Ляпис
CornerBox,CornerBox,四角盒子,四角盒子,CornerBox
Cornered Box Size,Cornered Box Size,中心边框大小,中心邊框大小,Cornered Box Size
Count Item,Count Item,数量,數量,Подсчёт предметов
"Count of attacks for one tree.
Recommended to set to 10 or lower to avoid attacking empty trees.
Set to 0 for unlimited attacks (even empty trees, extremely high risk).
Note: Memorized trees' attacks are reset after game restart.","Count of attacks for one tree.
Recommended to set to 10 or lower to avoid attacking empty trees.
Set to 0 for unlimited attacks (even empty trees, extremely high risk).
Note: Memorized trees' attacks are reset after game restart.","一棵树的攻击次数。
建议设置为10以及更低以避免攻击空树，
数值设置为0则为无限攻击(即使是空树，无限攻击也是高风险)。
注意: 树的攻击次数在游戏重启后重置。","一棵樹的攻擊次數。
建議設置為10以及更低以避免攻擊空樹，
數值設置為0則為無限攻擊(即使是空樹，無限攻擊也是高風險)。
注意: 樹的攻擊次數在遊戲重啟後重置。","Count of attacks for one tree.
Recommended to set to 10 or lower to avoid attacking empty trees.
Set to 0 for unlimited attacks (even empty trees, extremely high risk).
Note: Memorized trees' attacks are reset after game restart."
Crab,Crab,螃蟹,螃蟹,Краб
Crane,Crane,蓝翎鹭,藍翎鷺,Crane
Crash,Crash,坠落,坠落,Crash
Crash Attack Delay (ms),Crash Attack Delay (ms),伤害间隔延迟(毫秒),傷害間隔延遲(毫秒),Crash Attack Delay (ms)
Crash Damage Mode,Crash Damage Mode,坠落伤害模式,坠落傷害模式,Crash Damage Mode
Crash Repeat Delay (ms),Crash Repeat Delay (ms),伤害循环延迟(毫秒),傷害循環延遲(毫秒),Crash Repeat Delay (ms)
Crash damage value,Crash damage value,坠落伤害数值,墜落傷害數值,Crash damage value
Crash damage with percent value.,Crash damage with percent value.,坠落伤害将造成百分比伤害,墜落傷害將造成百分比傷害,Crash damage with percent value.
Create in-game Browser,Create in-game Browser,创建游戏内浏览器,創建遊戲內瀏覽器,Create in-game Browser
Crescent Pike,Crescent Pike,流月针,流月針,Crescent Pike
Crimson Agate,Crimson Agate,绯红玉髓,緋紅玉髓,Багровый агат
Crimson Finch,Crimson Finch,赤团雀,赤團雀,Crimson Finch
Crimson Fox,Crimson Fox,红狐,紅狐,Crimson Fox
Crimsonflank Pigeon,Crimsonflank Pigeon,赤胁鸽,赤脅鴿,Crimsonflank Pigeon
Crow,Crow,乌鸦,烏鴉,Ворона
Crude Chest,Crude Chest,石摩拉箱,普通的寶箱(粗糙),Каменный сундук
Cryo,Cryo,冰,冰,Cryo
Cryo Bathysmal Vishap,Cryo Bathysmal Vishap,深海龙蜥·啮冰,深海龍蜥・嚙冰,Крио вишап глубин
Cryo Crystalfly,Cryo Crystalfly,冰晶蝶,冰晶蝶,Cryo Crystalfly
Cryo Hypostasis,Cryo Hypostasis,无相之冰,無相之冰,Крио гипостазс
Cryo Regisvine,Cryo Regisvine,急冻树,急凍樹,Крио папоротник
Crystal Chunk,Crystal Chunk,水晶矿,水晶礦,Кристалльная руда
Crystal Chunk Drop,Crystal Chunk Drop,水晶矿掉落,水晶礦掉落,Crystal Chunk Drop
Crystal Core,Crystal Core,晶核,晶核,Кристалльное ядро
Crystal Marrow,Crystal Marrow,晶化骨髓,晶化骨髓,Кристальный костный мозг
Crystalfish,Crystalfish,水晶宴,水晶宴,Crystalfish
Cube Devices,Cube Devices,解谜魔方,解謎魔方,Cube Devices
Cuihua Wood,Cuihua Wood,萃华木,萃華木,Cuihua Wood
CurExp,CurExp,当前经验值,當前經驗值,Текущий опыт
Custom Element,Custom Element,自定义元素,自定義元素,пользовательский элемент
Custom Pickup Range,Custom Pickup Range,范围拾取,範圍拾取,Дальность подбора
Custom Profile,Custom Profile,自定义资料卡,自定義配置,Custom Profile
Custom Profile.,Custom Profile.,自定义资料卡,自定義配置,Custom Profile.
Custom Teleport,Custom Teleport,自定义传送,自定義傳送,Custom Teleport
Custom Teleports,Custom Teleports,自定义传送,自定義傳送,Custom Teleports
Custom Weather,Custom Weather,自定义天气,自定義天氣,Custom Weather
Custom Weather.,Custom Weather.,自定义天气,自定義天氣,Custom Weather.
Custom camera field of view.,Custom camera field of view.,自定义视场大小,自定視場廣度,Пользовательский угол обзора
Custom weather,Custom weather,自定义天气,自定義天氣,Custom weather
CustomElement,CustomElement,自定义元素,自定义元素,CustomElement
Cyno,Cyno,赛诺,賽諾,Cyno
Damage Value,Damage Value,伤害数值,傷害數值,Damage Value
Damage mode,Damage mode,伤害模式,傷害模式,Damage mode
Dandelion Seed,Dandelion Seed,蒲公英种子,蒲公英種子,Семя одуванчика
"Dandelion Seeds, Sakura Bloom, etc.","Dandelion Seeds, Sakura Bloom, etc.",蒲公英种子、绯樱绣球等。,蒲公英種子、緋櫻繡球等。,"Семя одуванчика, Цвет сакуры, др."
Dandy,Dandy,丹迪,丹迪,Dandy
Dark Iron Sword,Dark Iron Sword,暗铁剑,暗鐵劍,Dark Iron Sword
Dawncatcher,Dawncatcher,擒霞客,擒霞客,Dawncatcher
Day Night Switching Mechanism,Day Night Switching Mechanism,昼夜切换机制,晝夜切換機制,Механизм переключения дня-ночи
Deathmatch,Deathmatch,决斗之枪,決鬥之槍,Deathmatch
Deattach,Deattach,解除附加,解除連結,Deattach
Debate Club,Debate Club,以理服人,以理服人,Debate Club
Debug,Debug,调试,調試,Откладка
Debug Animations,Debug Animations,调试动画,調試動畫,Анимации отладки
Decrease FOV,Decrease FOV,减少FOV,減少FOV,Уменьшить поле зрения
Del,Del,删除,刪除,Del
Delay,Delay,延迟,延遲,Задержка
Delay (in ms) between loot vacuum.,Delay (in ms) between loot vacuum.,每一次吸附的延迟(单位: 毫秒).,每一次吸附的延遲(單位: 毫秒).,Задержка (в ms) между притягиванием вещей.
"Delay (in ms) between loot/open actions.
Values under 200ms are unsafe.
Not used if no auto-functions are on.","Delay (in ms) between loot/open actions.
Values under 200ms are unsafe.
Not used if no auto-functions are on.","每一次拾取/开箱动作之间的延迟(单位: 毫秒)。
低于200ms的数值是危险的。
如果未打开自动类功能则无效。","每一次拾取/開箱動作之間的延遲(單位: 毫秒)。
低於200ms的數值是危險的。
如果未打開自動類功能則無效。","Задержка между действиями собрать/открыть.
Значения менее 200ms небезопасны.
Не используется, если не включены никакие авто-функции."
"Delay (in s) between teleport.
Note: This is not fully tested detection-wise.
Not recommended with low values.","Delay (in s) between teleport.
Note: This is not fully tested detection-wise.
Not recommended with low values.","传送之间的延迟(单位: 秒)。
注意:这功能未经过充足的测试。
不建议在主账号上使用低数值。","傳送之間的延遲(單位: 秒)。
注意:這功能未經過充足的測試。
不建議在主帳號上使用低數值。","Задержка (in s) между телепортацией.
Примечание: Это не полностью протестировано на обнаружение анти-читом.
Не рекомендуется использовать с низкими значениями"
Delay Time (ms),Delay Time (ms),延迟时间(毫秒),延遲時間(毫秒),Время задержки (ms)
Delay Time (s),Delay Time (s),延迟时间(秒),延遲時間(秒),Время задержки (s)
Delay before attacking the next tree (in ms).,Delay before attacking the next tree (in ms).,攻击下一颗树前的时间间隔(单位:毫秒),攻擊下一顆樹前的時間間隔(單位:毫秒),Задержка перед атакой следующего дерева (in ms).
"Delay before attacking the same tree (in ms).
Values <500ms will not work.","Delay before attacking the same tree (in ms).
Values <500ms will not work.","攻击同一颗树前的时间间隔(单位: 毫秒)。
数值小于 500毫秒 将不生效。","攻擊同一顆樹前的時間間隔(單位: 毫秒)。
數值小於 500毫秒 將不生效。","Задержка перед атакой того же дерева (in ms).
Значения <500ms не работают."
Delay in milliseconds between notifications.,Delay in milliseconds between notifications.,通知之间的延迟(单位: 毫秒),通知之間的延遲(單位: 毫秒),Задержка в секундах между уведомлениями.
Delay in ms before crash damaging same monster.,Delay in ms before crash damaging same monster.,对同一个怪物造成伤害的延迟,對同一個怪物造成傷害的延遲,Задержка в ms до crash damage того же монстра.
Delay in ms before next crash damage.,Delay in ms before next crash damage.,对下一个怪物造成伤害的延迟,對下一個怪物造成傷害的延遲,Задержка в ms до следующего crash damage.
Delay randomly fluctuates between 'Delay Time'+'Delay Time+range',Delay randomly fluctuates between 'Delay Time'+'Delay Time+range',拾取延迟将在 拾取延迟 和 拾取延迟+延迟范围 之间随机。,拾取延遲將在 拾取延遲 和 拾取延遲+延遲範圍 之間隨機。,Задержка случайно выбирается между 'Время задержки'+'Время задержки+диапазон'
Delay range +(ms),Delay range +(ms),延迟范围+(毫秒),延遲範圍+(毫秒),Диапазон задержки +(ms)
Delay to repeat animation,Delay to repeat animation,重复动画延迟,重覆動畫延遲,Задержка повтора анимации
Delete,Delete,删除,刪除,Delete
Delete Checked,Delete Checked,删除选中,刪除選中,Удалить отмеченное
Delete Theme,Delete Theme,删除主题,刪除主題,Удалить тему
Delicious,Delicious,美味的,美味的,Delicious
Dendro,Dendro,草,草,Dendro
Dendro Crystalfly,Dendro Crystalfly,草晶蝶,草晶蝶,Dendro Crystalfly
